Feed,Sentiment
انا لسه بقرأ فيه لكن كتاب رائع من الى قريته,Positive
روايه جميله اسلوبها حلو وبتلفت النظر لبعض المشكلات فى المجتمع بين المتزوجين او بين المخطوبين ,Positive
كتاب اكثر من رائع ذكر فيه بعض المواقف العظيمه لهلاء الرجال العظام دون تفصيل عن حياتهم يجعلك تقع في عشق هلاء الصفوه لاعجب ان هلاء الرجال بنو حضاره امتدت لكل انحاء العالم هلاء هم اجدادي جمعنا الله اياهم في جنات النعيم,Positive
باختصار افضل روايه عربيه قراتها الربط بين الواقع والخيال شي خرافي وعجيب في هذه الروايه,Positive
على شريعتي دائما يجاهد في دفع الإنسان مما هو عليه إلى ما ينبغي أن يكون عليه الهدف ليس السعاده فحسب بل الحركه والثوره المتعه والوعي وهو الذي يحدث الحركه والحركه هي التي تصنع المجتمع الجديد مجتمعا حيا كجسد حيا صاحب هدف أعجبت بريته للحتميه التاريخيه الإنسان حيث ان الإنسان يستطيع بقدر نضجه ووعيه بفرض إرادته على إرادة التاريخ بل يستطيع ان يصنع تاريخا خاصا به بالتالي فالحتميه التاريخيه لا يجب ربطها بالقضاء والقدر والجبر الالهي المحتوم الأزلي الوعي يستطيع ان يغير التاريخ يعدل مساره وفق هوى الإنسان من الإقتباسات الرائعه ليس الفقر هو الذي سيصير سببا في الحركة التمرد لكنه الإحساس بالفقر إن شعور الطبقه المحرومه بالنسبه للوضع الطبقي المتناقض في مجتمعها هو الذي يدفها للحركه من يجعل نفسه شبيها باخر يفر من نفسه ينكر نفسه بعجله إصرار يكتم علاقاته فطرته التاريخيه الاجتماعيه ماهيته يحقر من نفسه ويهرب من نفسه إلى أحضان الأجنبي ينتقد مجتمعه أمامه ليظهر بمظهر الشخص الإستثنائي عن مجتمعه وفطرته ينبغي أن نقر ونتوافق على هذا الأساس المشتركـ أن الطريق الهدف مهما كان فهمهما أولا مالم يوقظ قلب الأمه ومالم يجد ضمير الأمه وعيا إجتماعيا فكل مدرسه وكل حركه سوف تبقى عقيمه ومجرده ثانيا أن الناس الناس فحسب هم الذين يستطيعون تحرير أنفسهم وينبغي أن تكون قيادة الحركه الإجتماعيه في أيديهم مباشره ما لم يصل قلب الأمه إلى الحماس الإنفعال التلقائي فإن حضورالمتعلمين بالنيابه عنهم لن يستطيع أن يكفلهم أبدا المتعلم في مجتمع أعمى عاجز يحمل كل هذه الألقاب ليس العجيب ان يسرع الصياد في اثر الصيد ولكن العجيب ان يسرع الصيد في اسر الصياد بعد قراءتك لهذا الكتاب غالبا لن تصدق انه عباره عن محاضرة ألقاها شريعتي في جامعة جنديسابور نظرا لكم المعلومات والمفاهيم المواضيع التي تطرق إليها بإسهاب ملحوظه هنالك بعض من فصوص الكتاب لم اقدر على استيعابها نظرا لجهلي ببعض المفاهيم سأعمل في الايام القادمه على تحسين ثقافتي بتلك الامور الغامضه نوعا ما بالنسبه إلي وأخيرا كتب شريعتي برغم انها دسمه مرهقه نوعا ما إلا أنها لا غنى عنها في الثقافه والتفكير زيادة الوعي,Positive
اخيرا خلصت,Positive
اعجبتني الروايه قريتها في ايام كرهت فيهن الرجال بسبب امراه الجوهره,Positive
من وين اشتري الكتاب,Positive
مم مقالات بطعم اليورانيوم ,Positive
أول أنا متفاجئة جد من كمية المواضيع المحشورة في صفحة فقط هذا كتاب لا يكتبه إلا امرأة وأظن أن أي رجل لن يستطيع أن يكتب كتاب بهذا الكم من التفاصيل والتشعب ات الموضوع الرئيس مرض ابنتها ثم قفزت لطفولتها وحتى طفولة أبويها ودراستها وعشاقها وحبها الأول ذا الأذنين والصراع السياسي في تشيلي والحياة الدبلوماسية في لبنان والإنقلاب العسكري ثم الحياة في سويسرا وإسبانيا وكاراكاس وحياة الفقر المدقع والصحافة والمسرح والتلفزيون وتجربة الحمل والولادة وحب ابنتها الأول وزواج ابنها ومغامراتها مع عشاقها وعم ها وجد ها وولادة حفيدها وهروبها من تشيلي والشاعر بابلو نيرودا وجنازته وعقد ابنيها النفسية وآمالهم وطموحاتهم بالمناسبة هذه ولا حت نصف مواضيع الكتاب تفاصيل مهولة في كتاب دافئ جد وقريب من القلب أحببته,Positive
إن لم يكن في دراسة عمر إلا أن نرى رجلا عادلا بالغا في عدله قويا بالغا في قوته معجبا بالبطولة بالغا في إعجابه مستقلا بالرأي بالغا في إستقلاله لكفى بذلك ظفرا لعلم الأخلاق وكفى بسيرة واحدة أن تقرر لنا هذه الحقائق التي تستكثر على عشرات السير وهي أن القوة لا تناقض العدل وأن البطولة لا تناقض الإعجاب وأن الإعجاب لا يناقض الإستقلال وتلك الحقائق أثبت في عمر من معارف بدنه وملامح سيماهـ ,Positive
رواية تاخذك عبر السنين تمر باجيال واحداث انها عن مجازر الاتراك الذي ارتكبوها بحق الارمن انها ليست دمويه ولكنها تظهر عواقب الاحداث رواية جميلة جدا وتستحق الثناء وبخاصه من كاتبه تركيه اثارت حفيظه الاتراك عليها وتسببت الروايه بالحكم عليها بالسجن لمده ثلاث سنوات بتهمه الاساءه الى القوميه التركيه اليف كتاباتها رائعه,Positive
روعة,Positive
كما كانت رسائل ميكافيللي للأمير تأتي رسائل نعيم أبو سبعة لصلاح لتخبره عن كيفية ارتقاء الرئيس ليصبح تنين لي ملحوظتين تقريبا الملف هو أول من طبع صورته داخل الرواية بدلا من الغلاف كم البعابيص في الرواية بس القصة حلوة مفيش كلام,Positive
قصتي المفضله,Positive
إذن لا كلمات بليغة يمكن كتابتها بعد قراءة رواية القوقعة ينتهي الكلام قبل أن يبدأ حتى ساعات متواصلة في قراءة رواية ملفة من صفحة تقريبا كل صفحة كانت مشب عة بالألم أكثر من التي سبقتها كل صفحة كان مليئة بحقائق ملمة حد اللامعقول الفجع الخيال حيث يذكر فيها صاحب الرواية هو مصطفى خليفة هو مسيحي لحد كان قد اع تقل من قبل قوات الأمن السورية في مطار العودة من فرنسا بعد دراسته للإخراج السينمائي رفضه كل عروض العمل المغرية ليكون مشهورا غنيا في الوقت ذاته يرفض لأنه وجد بأن سوريا بلده بحاجة إليه أكثر من أي بلد آخر مع هذا تم اعتقاله لسبب بقي يجهله عام بتهمة ربما تكون انتماه للإخوان المسلمين كما قال بعض قوات الأمن ذوي الر تب الصغيرة يتحدث مصطفى في هذه الرواية عن حقائق هي أشبه بالمستحيل هي أشبه بفيلم رعب ليس إلا يتحدث فيها عن كل ألون العذاب الذي ذاقه خلال فترة سجنه الـ عاما أشهر يوما عن كل ألوان العذاب الذي رآءه من خلال ثقب اكتشفه بالسجن الصحراوي ذكره للحقائق الملمة عن تفاصيل حياة السجين يتكشف لك من خلالها مدى استبداد النظام السوري جبروته ظلمه يتكشف لك مدى وضاعة كل الذين طالبوا بإخماد هذه الثورة مصطفى الذي خروجه كان أشبه بمعجزة من تلك السجون فتلك السجون لا يخرج منها المعاقين إما جسديا أو عقليا أما مصطفى فلم يسلم كذلك من آثار السجن لم يستطع أن يعيش كما يعيش البقي فلم يخرج هو بكامل عقله أما ما سلم من عقله فقد وث فيه كل ما رآءه في ذاكرته حيث لا أقلام لا دفاتر في السجن اعتمد على طريقة معينة كان يعتمدها الإسلاميون في الحفظ حينما خرج أر كل ما رآءه لنقرأه نحن يتكشف لنا الكثير عن انعدام الحرية العدالة الكرامة انعدام قيمة الإنسان مصطفى الذي لم أراه إلا بطلا أسأل الله أن تكون روايته هذه شفيعة له فهو كان مدرك جيدا بأنه لن يخرج أحد من السجن إلا بإعاقة أو بمرض مزمن بالتالي لن يستطيع توثيق شيء مما يراه أو يبقى في السجن حتى يتم إعدامه أو يموت موتا طبيعي هو بطلا لأنه رفض التوقيع على برقية شكر للرئيس بعد أن عفا عنه فقام أخوه خلسة بالتوقيع بدلا منه هنا يجدر الذكر بأن لولا خاله الذي كان قد عي وزيرا الذي بعد عام كامل من الواسطات التي ذاق خلالها أشد أنواع العذاب كهدية له قبل خروجه حر كان هذا العام كفيلا بأن يعرف تهمته أخيرا التي كانت عبارة عن قوله نكتة عن الرئيس المبج أثناء وجوده في فرنسا عن أسخف تهمة قد تسمعها عن الحرية التي عد مت في سوريا عن أقسى آداب السجون المتمثل في القوقعة ,Positive
روايه جيده والمسلسل المأخوذ عن قصه الروايه جيد أيضا روايه المشردين لا يتقنها إلا حنا مينه أكثر ما عجبني إصرار مفيد على حبه للبيبه وإصرار لبيبه على حبها لمفيد رغم ضخامه الروايه إلا أن لغتها سلسه وقريبه القلب مشبعه بالتشويق والمتعه,Positive
كتاب جداا عجيب اكثر ما احزنني بعد قرائته هون انه لن يكون هناك وليد او رغد في حياتي بعد اليوم لكن حزني توقف عندما علمت ان هناك جزءا اخر انت اي وها انا انتظر بلهفه لشرائه بحثت عنه وبحثت لكن لم اجد الا خيبه الامل بين الرفوف والحيره بين اوجه البائعين,Positive
روايه بفكره جديده بتناقش التسال الى جوانا كلنا بس الشى المزعج ان النهايه مش سعيده النهايه مش مناسبه لما توقعت ان تكون,Positive
غزة الغربة الأسر الحرب فلسطين,Positive
رائع حب الوطن حب الوطن حب الوطن حب الحبيب,Positive
كم فقدنا من كرامتنا وتضامننا الانساني واحساسنا بانسانيتنا حتى صرنا نتعود الاذلال المحيط بنا لنا ولغيرنا وحتى صرنا نقبل هذا العنف والتعامل غير الانساني الذي نعامل نحن به او يعامل به غيرنا على مرأى منا في الحياة او حين نقرأ عنه او نراه على شاشات التلفزيون وسنتجاهل اننا نحن نعامل غيرنا احيانا بهذه الطريقة اولادنا او مروسينا او الذين يقعون بين ايدينا من اعدائنا مثلا او السجناء الذين بين ايدينا مفترضا ان بعض من يقومون بهذه المهمات يمكن ان يقروا ما اكتب وينعكس تعودنا على هذا الاذلال في اننا صرنا نعد ان تعذيب السجين امر مفروغ منه لم نعد نتساءل عن اثر ذلك التعذيب في السجين الضحية حتى بعد خروجه من السجن كما اننا لم نعد نتساءل عن اثر التعذيب في منفذه وهل يستطيع بسهولة ان يعود الى حياته اليومية العادية بعد خروجه من غرفة التعذيب كما لو انه خرج من المرحاض لكي يستأنف حياته بنصح بئرايتو جدا جدا,Positive
ثر حبت هل تاب وثر التمست روح القضه الفلسطنه بلمات غسان نفان فعلا هل كتاب لوحه الفسيفساء النفسيه مرهق الى اقصى حد ولكنك امامي هذه الصوره الراءعه التي تذكرني باشياء كثيرة عيناك وشفتاك وملامح التحفز التي تعمل في بدني مثلما تعمل ضربه على عظم الساق حين يبداء الالم في التراجع سعاده الالم لانظير لها افتقدك ياجهنم ياسماء يابحر افتقدك الى حد الجنون الى حد اضع صورتك امام عيني وانا احبس نفسي كي اراك ,Positive
بعيدا عن الاحكام المسبقة وبعيدا عن تقليدية النظرة للسوريالية او الصوفية سنجد القواسم المشتركة لاي اتجاهات فكرية روحية في هاجس السال الانساني لسر وجوده ادونيس حفر في منطقة غير مألوفة فكريا ولغويا في حضور تواصلي للذات والموضوع,Positive
أثر فيه الواقع الأليم اللى عايشه فيه البطله وللأسف ما تغيرش,Positive
كتاب مفيد جدا يشرح فيه الكاتب مفهوم المشروع الحضاري يخصص فيه الحديث عن المشروع الحضاري للأمة الإسلامية اهدافه وسائل إنجازه كل ذلك مصحوب بقراءة متعمقة للواقع الحالي مع إستحضار الأخطاء الكبرى التي وقع فيها المسلمون قديما الأندلس على سبيل المثال وحديثا من الفقرات التي أثارت اعجابي هو عرضه لمفهوم المشروع الحضاري الشخصي بقوله المشروع الحضاري هو التزام شخصي بشيء يكرس له المرء حياته كلها أو بعضا منها وهو سبيل نجاح مشروعه الشخصي يتنازل عن بعض الرغبات وعن بعض المصالح ويتذوق طعم العناء المشروع الحضاري الشخصي رية تتكون من الهدف والطاقة والإمكانية والبعد الزمني ويتجسد ذلك كله في خطة عملية واحدة ومهما كانت نوعية مشروع الواحد منا فينبغي أن يكون شيئا يستحق التضحية وأن يكون على صلة بمشروعنا الأساسي وهو الفوز برضوان الله تعالى والنجاح في الابتلاء الذي كتب علينا ويجب إلى جانب هذا وذاك أن نبرمج حياتنا ونرسم أهدافنا من أفق حاجات مجتمعنا المسلم أي أن نتوقع من مشروعنا الشخصي المساهمة في تحقيق أولويةاجتماعية أو سد ثغرة ملح ومهمة الشعور بالتفاهة والفراغ والسأم الذي بات يجتاح كثيرا من الناس ما هو إلا نتيجة حتمية لعدم وجود شيء في حياتهم يستحق الاهتمام ومن غير المتوقع أن نشغل أوقاتنا على الوجه المطلوب وأن نستغل طاقاتنا وإمكاناتنا الاستغلال الأمثل من غير ذلك المشروع يستشهد الكاتب في بعض الفقرات من القرآن الكريم والسيرة النبوية كذلك أقوال بعض الصحابة الشيء الذي يدخل السلام الدفء أثناء مطالعتك للكتاب ,Positive
كتاب رائع محمل بالكثير من الطاقه الايجابيه والدافعه ,Positive
عالم بحالها هالرواية,Positive
قرأتها من سنه أحببت شخصيه زوربا التي تجمع ما بين العفويه وحب الحياه,Positive
الكتاب ممتع يسرد القصص ببضع جمل بسيط يصلح للقراءه السريعة ولهاوي القراءة يقفز بك من واقع إلى واقع قد يكون ممتع ومله حب ام يحزنك على انفطار قلب وخيانه بالتوفيق لأسرار,Positive
من احلي الروايات الي قرتها,Positive
رغم الفراق راويه تضع بين يديك كل المشاعر المتناقضه بقوه تجعل منك من القوه ضعف من الضعف قوه تجعلك تبحر في اعماقك خابيا نفسك لتتشف انفس جديده ام تكن تعلم بوجودها رغم الفراق تجعلك تمن بالحب بالحب وحده نورا انتي كما انتي داوما متالقه اكتر من رائعه تستحقين التقييم بنجوم السماء,Positive
