Feed,Sentiment
قال بعض الحكماء الصدق عز وإن كان فيه ما تكره والكذب ذل وإن كان فيه ما تحب ومن عرف بالكذب اتهمه الناس في صدقه,Positive
تحديثات الأيام الجاية يارب تمم على خير يارب,Positive
ريما خالد التغريدات صاحبتها متوفية الله يرحمها ياليت تقرأونها,Positive
ما خلقنا الله إلا لهذا اليوم ومثله لا بارك الله في الجبان,Positive
مهما حضنت ناس يبقى فيني شعور داخلي ان قلبي ماراح يدق الا لذاك الحضن,Positive
واحشني اقسم بالله يامخ ياليت الايام تعود بنا يا صاحبي,Positive
لم ابحث يوما عن شيء يفتنني بك لطالما كانت كل اشيائك العاديه تأسرني,Positive
أما بعد فالله لا يخذل إنما يؤجل حلول رحمته لوقت يعلمه ولا تعلمه انت,Positive
لكل واحد ناقص عقل يفكر كذا أقرها لما تتعب عيونك,Positive
على النقا والبياض وصافي النية أعامل الناس صادقها وحاقدها,Positive
امي لست اراكي اجمل ما في الدنيا بل اراكي دنيا كل ما فيها جميل,Positive
وتولني فيمن توليت ولاية أغتني بها وأكتفي لا يضرني ضا ولا يمسني وصب ولا نصب أنت وليي في الدنيا والآخرة بك قوتي وكفايتي وغناي يا الله,Positive
سلواي في الهجر دعاء خافت وجداول من مدمع الرقراق ليت الذي بيني وبينك في يدي فأضمه ضما بغير وثاق,Positive
انت فتاة جميلة ذكيه أنيقه ملهمه بسيطة وهذا يكفي أن تكوني فخورة ومليئه بالحب,Positive
ما كان من الاول نقدر ام النعمة ونحمد ربنا عليها ما كان من الاول,Positive
يقولون انني الاسوء واننا صديق سيئ وحبيب فاشل ومريض نفسي فهل تظل معي,Positive
صح والله احسه احلى اسبوع ف الحياه ببااي باي دراسه سوف نشتاق اليكي,Positive
لكل من يقرأ أتمنى أن يصادفك شيء جميل قريبا يغرق قلبك بالسعادة,Positive
قد تجد وجها كوجهي ولكن القلب لم يخلق منه أربعين,Positive
ربي إن قصرنا في عبادتك فإغفر لنا وإن سهينا عنك بالدنيا ردنا إليك ردا جميلا,Positive
ورغم أنك في أعماق قلبي إلا أن حديثك الجاني هز عرش قلبي,Positive
همسة بين صديق يبحث عنك وقت الفراغ وصديق يتفرغ للبحث عنك تكمن مسافة الألف ميل,Positive
كيف رمضان هالسنه ماحنشوفك بطل مسلسل جديد ي كبير,Positive
ربنا آتنا في الدنيا حسنة وفي الآخرة حسنة وقنا عذاب النار آمين صباح الخير الجميع,Positive
أنتي جزء مني والشي الأبدي في قلبيأنتي بمثابة الناس جميعا,Positive
تحت هذه التغريدة سلسلة من مقتطفات شعر أحمد مطر,Positive
حتى وإن بدت السماء بعيدة إن الذي فوق السماء قريب الحمد لله,Positive
وسيجعل الله من كل هم فرجا ومن كل ضيق مخرجا,Positive
يارب يارب يارب يارب يارب يارب ولن يخيب من نادى ب يارب,Positive
لست أكثر شخص يقابلك ولكني أجزم بأني أحبك اكثر من كل شخص بحياتك,Positive
اربح ايفون مع مخضرم وجهك صباح الخير الله يا وجهك,Positive
لا تدري لعل الله يحدث بعد ذلك أمرا ملخص اليوم انهرده والله,Positive
ما ذهب جميل إلا وجاء أجمل فالحمدلله دائما وأبدا,Positive
رؤية الغائبين في الأحلام هو أشد أنواع اللقاء وجعا للغائبين نقول,Positive
قال سول الله ص من أحب عليا فقد أحبني و من أحبني فقد أحب الله,Positive
كأن يديك المكان الوحيد كأن يديك بلد آه من وطن في جسد درويش,Positive
نهاية القصة محمد عبد الجليل يلعب الان الخرطوم,Positive
وقل للنقاب أنى أحبه وأنه ف قلبى أعلى مقام,Positive
سيلتئم كل شبر كسر فيك ستضحك حتى يعجز الكون عن احتضان بسمتك ستزول عنك العتمة التي طوقت كل حنايا جسدك,Positive
اليوم معزوم عند عائلة مصرية شايل هم وقت الاكل كيف اكل بيدي,Positive
لم يتبقى من الوقت سوى القليل بادري بالتسجيل قبل انتهاء الموعد والرحيل,Positive
صباح الخير لأولئك الذين يستمتعون بالحياة الذين تلمع أعينهم عند سرد قصة الذين يغنون والذين يخبروك دائما بأن الأمور ستبدو على ما يرام,Positive
أحمق ذلك اليائس الذي لا يفهم لماذا يعطيه الله أياما جديدة,Positive
اول مره احس بهذا الكم الهاائل من العصبيه استغفر الله بس عادي انبط في شكل اي حد للأسف,Positive
قد كان الشعور دفعة واحدة أحببتك وكأني احرص على أن يمضي قلبي بك أن لا ينفذ شعوري منك أن أحبك على اكمل وجه,Positive
العالم كله واقف على ريل وحدة بسبب اجازتك ام يومين,Positive
غدا الجمعة هو المكمل ل شهر شعبان والسبت هو اول ايام شهر رمضان المبارك كل عام وانتم بخير اهلا رمضان,Positive
كيف لا يكون ريال مدريد مذهل وفي دكته زين الدين زيدان فهد العتيبي,Positive
الاهلي عام من الانجازات انجازات عظيمة لنادي الاهلي دوري و كاس ملك و ولي عهد,Positive
توقيت الهدف مريح جدا مثل احساسنا اذا الكوره مع ميسي,Positive
من يحتفل بيوم الام احتفلوا بهدوء فهناك يتيم يتالم الله لا يحرمنا من امهاتنا,Positive
يبدو أننا سنقول نهاية الموسم أنها ليغا ميسي الفتى الاعجازي,Positive
ربي اسألك ان تلبي اماني معلقه في قلبي و قلوبهم و ان تكتب لي و لهم الخير حيث تريد,Positive
ما خاب من قال ربي أنت الميسر وأنت المسهل سهل أمري وحقق مطلبي وسخر لي كل ما هو خيرا لي,Positive
أقسم بالله أني بيني و بين نفسي كنت متوقع رونالدو يسجل هاتريك و أحتفظت بهالتوقع لي الحالي ياه يا رونالدو,Positive
اين تجد راحتك من اعرض عن ذكري فأن له معيشة ضنكا,Positive
أسعد الله صباحكم بكل الخير والحب فلسطين أون لاين,Positive
الثلاثاء جمادى الآخرة ه الموافق مارس م يومكم معطر بذكر الرحمن وطاعته,Positive
الحب بكل إختصار ان نضحك ونبكي مع بعض وان اكون انا انت وانت انا,Positive
قلبي لازال يتمناك رغم أني تألمت منك كثيرا,Positive
في مثل هذا اليوم سنة برشلونة حقق دوري ابطال اوروبا امام ارسنال هدف بيليتي تاريخي,Positive
فدعا ربه اني مغلوب فنتصر اني مغلوب فنتصر اني مغلوب فنتصر يارب نصرك وفرجك ياربي,Positive
أصبحنا وأصبح الملك لله آخر فاينل الله يسهله,Positive
بمناسبة اليوم العالمي للمرأءة حافظي على جمالك فهو اغلى ما لديك بعد الآخلاق,Positive
يارب إكفيني شر من يستغفلني و شر من يستغلني وشر من يطعني خلف ظهري و أشغل من أراد بي سوء في نفسه فإني أستودعك حياتي يا من لا تضيع ودائعه,Positive
على الأرائك متكئين زال التعب و تم النعيم فطاب الإتكاء أسأل الله لي و لكم الجنة صباح الخير,Positive
إن قآله الله يعتدل كل مآيل ولابد آلليآلي آلسود يظهر قمرها,Positive
أكثر اثنين يهلكون بعضهم بالفرح وأكثر اثنين فالهوى مغرمين,Positive
مساء يحمل مع نسماته رضا الله مساء جميل كجمال قلوبكم عطر الله مساكم برائحة الجنه,Positive
ربنا لا حال يدوم و لا أناس يبقون فلا غيرك الباقي اغفر لنا و ارحمنا إن قصرنا بحقك إنك أنت الغفور الرحيم,Positive
بكل إستسلام أنا وصلت فيك ل ماأريد دنيا بدونك أريدك لو إنك شر قبل ماتكون لي خيره,Positive
ثق أن الصوت الهادي أقوى من الصراخ و أن التهذيب يهزم الإهانة و أن التواضع يحطم العزور و أن الاحترام يسبق المحبة,Positive
إنني أؤمن عن يقين أن سعادتنا تبدأ داخلنا وأن السعادة في العطاء ربما تفوق السعادة فيما يعطيه لنا الآخرون صباح الخير,Positive
إجعلني يا الله ذات حظ جميل وذات قدر أجملوإجعل أمنياتي قريبة,Positive
لا تشحذ ودا باردا ولا تسأل وصلا متكلفا ولاتنتظر مجىء من لا يجىء تقدم بعقلك وتراجع بقلبك,Positive
هناك من ترتقي بالحوار معهم و هناك من ترتقي بالصمت عنهم كلمه للي يحسدك,Positive
فوق هذا الحب أحبك وبعد أكثر كثير ياللي تدري إن قربك أنا احتاجه كثير,Positive
كتاب عندي من ثالث ثانوي المدهش بالموضوع اني مازال مخي رياضي,Positive
عيد الام كل يوم اشوفها هو يوم عيدي امي امي جعلني فدوة نسمها,Positive
وإن ضاقت بك الأركان يوما فركن الله باقي لا يضيق,Positive
وكأنها رصاصة عالقة في قلبي كلما حاولت أن أستئصلها أبكتني,Positive
صباح ال ياليت كل الكلمات كلماتك وكل الصباحات تبتدي فيك وكل الأيام انت,Positive
ركعتين في آخر الليل قد تغفر ذنبك وتزيل همك وتشرح صدرك وتستجيب دعاؤك وتحقق أمنيتك,Positive
ليش تحطمي احلامي لا تخلوني اصنف فجأة واروح وحدي كما ذيك المرة,Positive
أنت كزهر أبيض يتعمق في قلبي ك عمر يأخذ كل تفاصيل حزني,Positive
السلام عليكم ورحمة الله وبركاته اصبحنا وأصبح الملك لله الواحد القهار,Positive
لا زلت نقطة ضعفي ب كل الاحوال ولا زلت باقي في حياتي حياتي,Positive
الحمدلله الذي حفظ عافيتي وستر خطيئتي وما زال يعطيني الحمدلله دائما و أبدا,Positive
من الرائع أن يكون لديك صديق كلما اتيت إليه متكدرا رجعت منه صافيا و كلما قدمت إليه ضعيفا عدت منه قويا,Positive
مبروك لجماهير الاتحاد وهارد لكم جماهير العالمي قدمتم مباراة جميلة الاتحاد النصر,Positive
سببها كوادر تربوية وتعليمية مدربة وإدارة واعية مدركة حكيمة وبيئة تعليمية مثالية من أجل هذا كان لزاما أن يعم عطاؤها مدنا اخرى,Positive
ل أمي إذا بانت البسمه على وجهك احس إني انا المسرور,Positive
الخير كله في الرضا فإن استطعت فارضى و إن لم تستطع فاصبر,Positive
الاهلي العين بسم الله على بركة الله يارب جملها بفوز اهلاوي,Positive
أشعر بما تشعر به دون أن تتحدثوكأن إحساسنا واحدوكأن مالنا قلبين,Positive
إن كان هدفك إحصاء أخطائي فستجد الكثير منها وإن أردت الجانب الجيد مني ستجده أيضااختر ما يناسب مقاس نيتك فرأيك لن يزيد أو ينقص مني شيئا,Positive
تاريخ اليوم الميلادي بطريقة الدون كرستيانو,Positive
أي شيء مستور لاتحاول أن تكشفه حتى لو انت متاكد أن الشخص سيء طبع لازم نغيره,Positive
عاملوا من تحبون كشئ تعشقون وجوده وسيعاملوك كشئ لا يعيشون بدونه,Positive
مقامك حيث أقامك إذا أردت أن تعرف قدرك عند الله فانظر أين,Positive
الصباح لا يتغير ولكن كل يوم يأتي بشكل أجمل,Positive
في دعوه امي ولما تقول بكره احسن اين تجد راحتك,Positive
لا تنسون ايفوني ال بلس كان اول ايفون احمر,Positive
مآ ذهب جميل إلا وجاء أجمل فالحمدلله دائما وأبدا,Positive
قل الحمدلله لينعم قلبك بالرضا وينشرح صدرك باليقين,Positive
من يوم صرت أشوفك في نومي صار النوم عندي موعد غرامي,Positive
حضن الأنثى وطن لا يسكنه إلا من يهتم فيها ويحتويها,Positive
إن كان لي وطن فوجهك موطني او كان لي دار فحبك داري,Positive
لا تكونوا متشائمين جدا ففي زحمة الحياة و مشاكلها هناك دائما شيء جميل ينتظر أن نل,Positive
ما في قلبين حتى تسكن الثاني لي قلب واحد ولا أحد ساكنه غيرك,Positive
إن الله لا يرد عبدا رفع أيديه إليه فهو الكريم المجيب للداعي أمنية قلبي ي الله الوتر,Positive
معاه عقارب الساعه ليتها توقف و أقضي معه بدل الساعه ساعات,Positive
بعض الصدف ندامه وبعض الصف حياه وسعادة يعني انت وحظك احيانا بعض الصدف,Positive
على باب الأمل س نكون صابرين مهما كانت الأقدار,Positive
علي طاري السعاده غدا في محكمة الله نلتقي وهناك العدل يقام,Positive
أنت رائع حين تتجاهل من يسيء إليك وكريم حين تخفف من أحزان غيرك ولطيف حين تهتم بمن حولك وجميل عندما تبتسم مهما كانت الظروف,Positive
جيتني مثل شيء فآق عن شعوري يومي رددت يآرب سخر لي الطييبين,Positive
شكرا لعملاء الغيبه يودعون الحسنات في حسابنا من دون مقآبل,Positive
إذا المرء لا يرعاك إلا تكلفا فدعه ولا تكثر عليه التأسفا ففي الناس أبدال وفي الترك راحة وفي القلب صبر للحبيب وإن جفا مساء الخير,Positive
ربي سهل ماتبقى من درب انطوى معظمه يارب كما بسرت لنا أمورنا فينا مضى يسر أمورنا ولا تضيع لنا تعبا,Positive
يا خطاي لو رجع بي الزمن رجعت أخطي و أحبك من جديد,Positive
قال من استطاع منكم أن ينفع أخاه فليفعل صحيح مسلم,Positive
انا برشلونة انا التاريخ انا الحاظظر انا المستقبل,Positive
شي تتمني تحققه ام اعيش حياة تشبهني من الألف للياء,Positive
تصبير رباني هو علي هين وقد خلقتك من قبل ولم تك شيئا,Positive
احلى شي يوم تحضن شخص تحبه وتسكر عيونك وقتها تحس انك بدنيا ثانييه,Positive
لم نولد على هذه الأرض لنكن سعداء طيلة الوقت هناك منعطفات إن صبرت عليها نلت الرضا والسعادة,Positive
رغم كل شيء أسمع في داخلي صوتا يتلو لا تدري لعل الله يحدث بعد ذلك أمرا,Positive
يارب ياحبيبي طمن قلبي على من احب وابعد التعب عنهم,Positive
المؤمن دائما مطمئن القلب ساكن النفس بداخله المودة والرحمة والصبر والشكر و الحلم والرأفة و الوداعة و السماحة و القبول و الرضا مساء الخير,Positive
قلبي يرفرف بحظورك يافاتنه عيونك اخرى امالي وليلي اطول من اليم هذااهتم لأمره,Positive
ربي اسالك رضا من عندك لا غضب بعده وعفو جميل,Positive
ليس كل من يشكوا إليك يريد حلول البعض ربما يحتاج منك ان تشعر و تهتم به,Positive
هي أمي و مأمني و أماني وإيماني و أمتي يوم الأم,Positive
يارب ابقى ذكرى جميلة لدى طالباتي يدعون لي بالرحمة بعد مماتي,Positive
بارك الله جهود الطالبات وجهودك أستاذة هدى,Positive
تحصن بالأدعية والأذكار وثق في رعاية الله وولاية الله وقرب الله,Positive
كتمان الشعور اثقل حاجه ممكن تحس فيها بداخلك,Positive
تفاجأت بوجود هذا المحل وفيه سيدة كبيرة تصمم الاكسسوار,Positive
الملكي بطل القرن الحقيقي لا جديد يذكر فى تويتة العادة زمالك يا موطنى,Positive
ابتسم مع قصة سوداني والأمير خالد بن الوليد بن طلال واقعية,Positive
صباح الخير صباح السكينة والهدوء صباح الابتسامة,Positive
أنتظركم اليوم في بانوراما مبنى في جامعة الأمام متواجدين حتى الساعه,Positive
انها صور عريقه الدرب تاريخها استحدث الغرب انها اعجوبه فمجدها الرب ابنائها دافعوا عنها كل الدرب,Positive
يكفيك أن الله يعلم ما بقلبك يكفيك أن الله يجبر عثراتك الله يكفيك عن كل شيء,Positive
الله يكون معك دايما ويريح قلبك بحببك انا كثير,Positive
يا ليلة شم النسيم انستينا و جددتي الامل فينا,Positive
يا رب اجعل لنا فرحة ملىء السموات والارض يا خير المبشرين وعجل لنا كل جميل ننتظره ونتمناه يارب العالمين صباح الخير,Positive
اي شخص يتوقع ان فيه فهو ساذج ومضحوك عليه للاسف,Positive
يارب قرب الأقدار السعيدة والأيام الحلوة صباح الخير,Positive
لا أعترف بالإنتقام ولا رد الوجع بالوجع ولكن أعرف صغر هذه الدنيا وسرعة دورانها,Positive
الله يلعن انريكي ليوم الدين اجل غوميز وماثيو اساسيين,Positive
كنت أحسبك حاله تجي وتروح و أثرك بكل ضلع بي منحوت,Positive
معرض الكتاب صالة طعام بها مالذ وطاب للعقل,Positive
أتعب وانا اقول مبدع يالسليم استمر ولا عليك من أحد هذا هو الترفيه الحقيقي,Positive
كاسيا ناتشو فاران بيبي كارفخال ايسكو كروس مودريتش كريستيانو بيل بنزيما هلا مدريد دائما وابدا,Positive
صديقي البعيد يظل صديقي حتى تفنى المسافات ونلتقي صباح الخير,Positive
وأتمني أكون بذلك خدمة عشقي ولكم تحياتي وتقديري,Positive
صباح الخير وبعد وإن أماتوا زهرة في جوفك فبستانك مازال حيا,Positive
فكره ضع في غرفتك صندوق صغير وكلما اذنبت ضع فيه قطعه من المال فإذا امتلأ الصندوق تصدق به,Positive
أكرموا من حولكم بابتسامة جميله وكلمات لطيفه اعفوا واصفحوا خلقنا لفترة من الزمن ثم سنرحل إلى دار الخلود دنيا فانيه,Positive
الزعل المستمر يميت لذة كل شيء وإن كان من غير قصد,Positive
سحرك عيونك و الوجه نوراني سبحان حسنك والحسن رباني,Positive
هو علي هين مع الله لا تستعظم أمنياتك صباح الخير,Positive
عندما أنظر إلى عيناك شيء واحد أعرفه فقط أنني دائما العطشان وعيناك هي من سترويني,Positive
اعزم على ترك ذنوب الخلوات فهي إغلاق وإطباق وهي أكنة وأغشية وهي البلاء الذي يضيع قلبك ويلوثه ويسقطه رياض السعادة,Positive
يا سلام قد ايش الشعور جميل و رهيب بعد يوم مرهق و متعب و اخره وانت بسريرك شعور لا يوصف,Positive
لاا تسألوني كيف أحببتههو طلب ققلبي وأنا عطيته,Positive
الصمت في بعض المواقف كرامه وقد قيل ثلثي السعادة تغاضي مساء الانوارر الصمت حكمة و قليل فاعله,Positive
ضاقت فلما استحكمت حلقاتها فرجت وكنت أظنها لا تفرج صباح الخيرات,Positive
أستودعتك مستقبلا لاأعلم خفاياه ولكني أعلم أنك خير مدبر و خير من أودعت له الودائع فاجعل القادم أجمل مما مضى يا رب العالمين يارب,Positive
قال صلى الله عليه وسلم ما من رجل يدعو لأخيه بدعوة إلا وكل الله به ملكا كلما دعا لأخيه قال الملك الموكل به آمين ولك بمثل,Positive
اعننا يالله على طاعتك والابتعاد عن معاصيك,Positive
ربي اجعلني باره بأمي بر يصبح عبره لجميع خلقك,Positive
أجمل عطور جنيد في شيلة أمي و أجزل عطايا الوقت حزة رضاها,Positive
كل الأندية تحسم الليغا ضد فرق كبيرة إلا مدريد,Positive
ليس هناك شيئ اجمل من الطبيعة فالطبيعة فيها نقاء صفاء صدق و روح جميلة تنعش الحياة بمجرد شرود الذهن فيها,Positive
